Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669244955,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669244956,3,,Aggregated,0.000000,0.000000,450,450,470,470,470,470,470,470,470,470,470,6,0,340.0,384.29883999970116,257.1355139998559,472.2891059991525,149.0
1669244957,6,,Aggregated,0.000000,0.000000,410,450,460,470,470,470,470,470,470,470,470,9,0,410.0,397.56401499986777,257.1355139998559,472.2891059991525,149.0
1669244958,9,,Aggregated,0.000000,0.000000,840,880,910,920,1000,1000,1000,1000,1000,1000,1000,24,0,840.0,697.6123009998977,257.1355139998559,1033.218073000171,149.0
1669244959,12,,Aggregated,4.500000,0.000000,840,880,890,910,1000,1000,1000,1000,1000,1000,1000,35,0,840.0,706.8092454856275,257.1355139998559,1033.218073000171,149.0
1669244960,15,,Aggregated,5.000000,0.000000,830,880,910,920,1000,1100,1500,1500,1500,1500,1500,45,0,830.0,751.3722839332937,257.1355139998559,1535.96683700016,149.0
1669244961,15,,Aggregated,6.000000,0.000000,860,910,1000,1000,1300,1500,1500,1600,1600,1600,1600,61,0,860.0,845.3680280327553,257.1355139998559,1621.7213669997363,149.0
1669244962,15,,Aggregated,7.200000,0.000000,890,960,1100,1100,1300,1500,1500,1600,1600,1600,1600,74,0,880.0,880.9367634459114,257.1355139998559,1621.7213669997363,149.0
1669244963,15,,Aggregated,8.166667,0.000000,890,1000,1100,1100,1300,1500,1600,1600,1600,1600,1600,91,0,890.0,907.3184082747175,257.1355139998559,1624.843346000489,149.0
1669244964,15,,Aggregated,9.285714,0.000000,890,1000,1100,1200,1400,1500,1600,1600,1600,1600,1600,104,0,890.0,900.8442574134612,257.1355139998559,1631.8109540006844,149.0
1669244965,15,,Aggregated,10.250000,0.000000,910,1100,1200,1200,1400,1600,1700,1900,2100,2100,2100,114,0,900.0,947.3958982105281,196.97986800019862,2084.330415000295,149.0
1669244966,15,,Aggregated,10.555556,0.000000,910,1100,1200,1300,1600,1800,2000,2100,2100,2100,2100,126,0,900.0,961.7283171349243,188.02735999997822,2084.330415000295,149.0
1669244967,15,,Aggregated,10.600000,0.000000,900,1100,1200,1400,1700,1900,2100,2100,2100,2100,2100,139,0,900.0,966.2405481438836,188.02735999997822,2084.330415000295,149.0
1669244968,15,,Aggregated,11.800000,0.000000,910,1100,1400,1500,1800,2000,2100,2300,2700,2700,2700,153,0,910.0,999.9601165359454,186.8501010003456,2694.6879379993334,149.0
1669244969,15,,Aggregated,12.000000,0.000000,910,1200,1400,1500,1900,2100,2100,2300,2700,2700,2700,163,0,910.0,1015.3395858466076,186.8501010003456,2694.6879379993334,149.0
1669244970,15,,Aggregated,13.000000,0.000000,910,1200,1500,1600,1900,2100,2300,2600,2700,2700,2700,171,0,910.0,1042.9282049356445,186.70229899998958,2694.6879379993334,149.0
1669244971,15,,Aggregated,13.100000,0.000000,930,1300,1600,1800,2000,2100,2600,2700,2700,2700,2700,187,0,930.0,1081.66580497324,186.70229899998958,2702.0681280000645,149.0
1669244972,15,,Aggregated,13.000000,0.000000,920,1200,1500,1700,1900,2100,2500,2600,2700,2700,2700,201,0,920.0,1068.037733771121,184.72186399958446,2702.0681280000645,149.0
1669244973,15,,Aggregated,12.600000,0.000000,990,1400,1600,1700,2000,2100,2500,2600,2700,2700,2700,208,0,960.0,1087.2476172740144,184.72186399958446,2702.0681280000645,149.0
1669244974,15,,Aggregated,12.600000,0.000000,990,1400,1600,1800,2000,2100,2500,2600,2700,2700,2700,221,0,990.0,1093.8851678099386,184.72186399958446,2702.0681280000645,149.0
1669244975,15,,Aggregated,12.100000,0.000000,990,1400,1700,1800,2000,2200,2500,2600,2700,2700,2700,236,0,960.0,1096.4646365889657,184.72186399958446,2702.0681280000645,149.0
1669244976,15,,Aggregated,11.600000,0.000000,960,1400,1600,1800,2000,2200,2500,2600,2700,2700,2700,250,0,950.0,1085.120872943989,184.72186399958446,2702.0681280000645,149.0
1669244977,15,,Aggregated,11.900000,0.000000,1000,1400,1700,1800,2000,2200,2500,2600,2700,2700,2700,261,0,1000.0,1111.091629003825,184.72186399958446,2702.0681280000645,149.0
1669244978,15,,Aggregated,12.100000,0.000000,1000,1500,1700,1800,2000,2200,2500,2600,2700,2700,2700,272,0,1000.0,1114.0148919558724,184.72186399958446,2702.0681280000645,149.0
1669244979,15,,Aggregated,12.200000,0.000000,1000,1500,1700,1800,2000,2200,2500,2600,2700,2700,2700,289,0,1000.0,1113.5791124636605,184.72186399958446,2702.0681280000645,149.0
1669244980,15,,Aggregated,11.800000,0.000000,1000,1500,1700,1800,2000,2200,2400,2600,2700,2700,2700,301,0,1000.0,1108.7169979202602,184.72186399958446,2702.0681280000645,149.0
1669244981,15,,Aggregated,12.200000,0.000000,1000,1500,1700,1800,2000,2200,2400,2600,2700,2700,2700,315,0,1000.0,1114.0085397872963,184.72186399958446,2702.0681280000645,149.0
1669244982,15,,Aggregated,12.700000,0.000000,1000,1500,1700,1800,2000,2100,2400,2600,2700,2700,2700,331,0,1000.0,1107.123633290013,184.72186399958446,2702.0681280000645,149.0
1669244983,15,,Aggregated,12.900000,0.000000,1000,1400,1700,1800,2000,2100,2400,2600,2700,2700,2700,344,0,1000.0,1106.6272361540564,184.72186399958446,2702.0681280000645,149.0
1669244984,15,,Aggregated,13.000000,0.000000,1000,1400,1700,1800,2000,2100,2400,2600,2700,2700,2700,355,0,1000.0,1103.9996798873092,184.72186399958446,2702.0681280000645,149.0
1669244985,15,,Aggregated,12.900000,0.000000,1000,1400,1700,1800,2000,2100,2400,2600,2700,2700,2700,371,0,1000.0,1100.878801229101,184.72186399958446,2702.0681280000645,149.0
1669244986,15,,Aggregated,13.900000,0.000000,1000,1500,1700,1800,2000,2100,2400,2600,2700,2700,2700,379,0,1000.0,1108.54240291556,184.72186399958446,2702.0681280000645,149.0
1669244987,15,,Aggregated,13.500000,0.000000,1000,1500,1700,1800,2000,2200,2500,2600,2700,2700,2700,386,0,1000.0,1117.6402637823746,184.72186399958446,2702.0681280000645,149.0
1669244988,15,,Aggregated,13.400000,0.000000,1100,1500,1700,1800,2000,2200,2400,2500,2700,2700,2700,402,0,1000.0,1132.357727800987,184.72186399958446,2702.0681280000645,149.0
1669244989,15,,Aggregated,12.900000,0.000000,1000,1500,1700,1800,2000,2200,2400,2500,2700,2700,2700,418,0,1000.0,1128.7314897655422,184.72186399958446,2702.0681280000645,149.0
1669244990,15,,Aggregated,13.000000,0.000000,1000,1500,1700,1800,2000,2200,2400,2500,2700,2700,2700,431,0,1000.0,1131.2140942853737,184.72186399958446,2702.0681280000645,149.0
1669244991,15,,Aggregated,13.000000,0.000000,1000,1500,1700,1800,2000,2200,2400,2500,2700,2700,2700,445,0,1000.0,1127.8802948763969,184.72186399958446,2702.0681280000645,149.0
1669244992,15,,Aggregated,12.800000,0.000000,1000,1400,1700,1800,2000,2200,2400,2500,2700,2700,2700,461,0,1000.0,1125.529255015176,184.72186399958446,2702.0681280000645,149.0
