Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669244688,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669244689,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669244690,6,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1,0,1332.6915500001633,1332.6915500001633,1332.6915500001633,1332.6915500001633,139.0
1669244691,9,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2,0,1332.6915500001633,1756.1654990004172,1332.6915500001633,2179.639448000671,139.0
1669244692,12,,Aggregated,0.500000,0.000000,2900,2900,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,0,2200.0,2350.883592250284,1332.6915500001633,3022.420530999625,139.0
1669244693,15,,Aggregated,0.500000,0.000000,2900,3000,3000,3700,3700,3700,3700,3700,3700,3700,3700,5,0,2900.0,2622.2343838002416,1332.6915500001633,3707.637550000072,139.0
1669244694,15,,Aggregated,0.666667,0.000000,3000,3000,3700,3700,4600,4600,4600,4600,4600,4600,4600,6,0,2900.0,2944.763780666866,1332.6915500001633,4557.410764999986,139.0
1669244695,15,,Aggregated,0.750000,0.000000,3000,3700,4600,4600,5100,5100,5100,5100,5100,5100,5100,7,0,3000.0,3248.7215200001497,1332.6915500001633,5072.467955999855,139.0
1669244696,15,,Aggregated,1.000000,0.000000,3700,4600,5100,5100,5200,5200,5200,5200,5200,5200,5200,8,0,3000.0,3498.42878762513,1332.6915500001633,5246.379660999992,139.0
1669244697,15,,Aggregated,1.000000,0.000000,4600,5100,5200,6100,7000,7000,7000,7000,7000,7000,7000,10,0,3700.0,4109.358357400106,1332.6915500001633,6983.128691000275,139.0
1669244698,15,,Aggregated,1.000000,0.000000,4600,5200,6100,6100,7000,7700,7700,7700,7700,7700,7700,11,0,4600.0,4432.612896454636,1332.6915500001633,7665.15828699994,139.0
1669244699,15,,Aggregated,1.000000,0.000000,5100,5200,7000,7000,7700,7800,7800,7800,7800,7800,7800,12,0,4600.0,4709.486509166709,1332.6915500001633,7755.096248999507,139.0
1669244700,15,,Aggregated,1.000000,0.000000,5100,6100,7000,7700,7800,8600,8600,8600,8600,8600,8600,13,0,5100.0,5010.383527846128,1332.6915500001633,8621.14775199916,139.0
1669244701,15,,Aggregated,1.000000,0.000000,5200,7000,7700,7800,8600,9500,9500,9500,9500,9500,9500,14,0,5100.0,5328.026084142818,1332.6915500001633,9457.379315999788,139.0
1669244702,15,,Aggregated,1.100000,0.000000,5200,7000,7800,8600,9500,10000,10000,10000,10000,10000,10000,15,0,5200.0,5659.386638199977,1332.6915500001633,10298.434395000186,139.0
1669244703,15,,Aggregated,1.200000,0.000000,6100,7700,8600,8600,10000,11000,11000,11000,11000,11000,11000,16,0,5200.0,5962.043196124967,1332.6915500001633,10501.891564999823,139.0
1669244704,15,,Aggregated,1.200000,0.000000,6100,7800,8600,9500,11000,11000,11000,11000,11000,11000,11000,17,0,6100.0,6270.714468764656,1332.6915500001633,11209.454830999675,139.0
1669244705,15,,Aggregated,1.100000,0.000000,7000,8600,10000,11000,12000,13000,13000,13000,13000,13000,13000,19,0,7000.0,6925.581876684144,1332.6915500001633,12913.582971999858,139.0
1669244706,15,,Aggregated,1.100000,0.000000,7700,9500,11000,11000,13000,13000,13000,13000,13000,13000,13000,20,0,7000.0,7231.921421049902,1332.6915500001633,13052.372763999301,139.0
1669244707,15,,Aggregated,1.100000,0.000000,7700,9500,11000,11000,13000,13000,13000,13000,13000,13000,13000,21,0,7700.0,7514.714002380841,1332.6915500001633,13170.565628999611,139.0
1669244708,15,,Aggregated,1.100000,0.000000,7800,10000,11000,12000,13000,13000,13000,13000,13000,13000,13000,22,0,7700.0,7772.398781454452,1332.6915500001633,13183.779142000276,139.0
1669244709,15,,Aggregated,1.100000,0.000000,7800,11000,12000,13000,13000,13000,13000,13000,13000,13000,13000,23,0,7800.0,8013.239872173829,1332.6915500001633,13311.743868000121,139.0
1669244710,15,,Aggregated,1.100000,0.000000,8600,11000,13000,13000,13000,13000,14000,14000,14000,14000,14000,24,0,7800.0,8244.063202791609,1332.6915500001633,13552.99980700056,139.0
1669244711,15,,Aggregated,1.100000,0.000000,8600,11000,13000,13000,13000,13000,14000,14000,14000,14000,14000,24,0,7800.0,8244.063202791609,1332.6915500001633,13552.99980700056,139.0
1669244712,15,,Aggregated,1.100000,0.000000,8600,11000,13000,13000,13000,13000,14000,14000,14000,14000,14000,24,0,7800.0,8244.063202791609,1332.6915500001633,13552.99980700056,139.0
1669244713,15,,Aggregated,1.100000,0.000000,8600,11000,13000,13000,13000,14000,15000,15000,15000,15000,15000,25,0,8600.0,8526.132476039966,1332.6915500001633,15295.795034000548,139.0
1669244714,15,,Aggregated,1.100000,0.000000,8600,11000,13000,13000,13000,14000,15000,15000,15000,15000,15000,25,0,8600.0,8526.132476039966,1332.6915500001633,15295.795034000548,139.0
1669244715,15,,Aggregated,0.900000,0.000000,9500,12000,13000,13000,15000,16000,16000,16000,16000,16000,16000,27,0,9500.0,9096.417518407383,1332.6915500001633,16250.43026900039,139.0
1669244716,15,,Aggregated,0.800000,0.000000,10000,13000,13000,13000,16000,16000,16000,16000,16000,16000,16000,28,0,9500.0,9350.438547357111,1332.6915500001633,16250.43026900039,139.0
1669244717,15,,Aggregated,0.800000,0.000000,10000,13000,13000,14000,16000,16000,16000,16000,16000,16000,16000,29,0,10000.0,9586.814464482752,1332.6915500001633,16250.43026900039,139.0
1669244718,15,,Aggregated,0.800000,0.000000,11000,13000,13000,15000,16000,16000,16000,16000,16000,16000,16000,30,0,10000.0,9807.840430699982,1332.6915500001633,16250.43026900039,139.0
1669244719,15,,Aggregated,0.800000,0.000000,11000,13000,14000,15000,16000,16000,16000,16000,16000,16000,16000,31,0,11000.0,10008.023095064495,1332.6915500001633,16250.43026900039,139.0
1669244720,15,,Aggregated,0.900000,0.000000,11000,13000,15000,16000,16000,16000,16000,16000,16000,16000,16000,32,0,11000.0,10195.89365853122,1332.6915500001633,16250.43026900039,139.0
1669244721,15,,Aggregated,0.800000,0.000000,12000,13000,16000,16000,16000,16000,16000,16000,16000,16000,16000,34,0,11000.0,10537.234774117625,1332.6915500001633,16250.43026900039,139.0
